Name,Latest,Change %,1 year %,Market value MSEK,P/E,Dividend yield %,Owners,List
AAK,229.6,1.32,24.04,58817,22.61,1.21,9526,Large Cap Stockholm
ABB Ltd,441.3,1.12,26.81,803634,18.74,2.19,49168,Large Cap Stockholm
AddLife B,112.9,4.25,2.92,13776,44.74,1.11,7048,Large Cap Stockholm
Addnode Group B,84.75,3.8,-18.59,11368,39.44,1.22,3846,Large Cap Stockholm
Addtech B,216.4,2.27,32.44,57724,33.81,1.18,7876,Large Cap Stockholm
AFRY,139.9,3.25,-25.47,15810,12.95,4.06,10675,Large Cap Stockholm
Alfa Laval,379.2,-0.86,15.4,158996,26.04,1.57,23443,Large Cap Stockholm
Alleima,76.26,2.03,84.25,19117,11.83,1.87,37970,Large Cap Stockholm
Arion Banki SDB,11.8,0.85,5.55,17085,8.78,5.4,4430,Large Cap Stockholm
Arjo B,43.12,1.36,6.21,11631,29.86,2.0,12408,Large Cap Stockholm
ASSA ABLOY B,285.6,1.28,18.8,318086,23.39,1.7,27552,Large Cap Stockholm
AstraZeneca,1423.0,0.0,-3.98,2202059,34.05,2.13,62653,Large Cap Stockholm
Atlas Copco A,166.25,1.46,24.29,769521,29.22,1.4,15412,Large Cap Stockholm
Atlas Copco B,142.4,1.32,21.71,769521,25.06,1.64,45376,Large Cap Stockholm
Atrium Ljungberg B,222.2,1.09,16.21,29282,-19.51,2.41,4677,Large Cap Stockholm
Autoliv SDB,1089.0,1.49,32.0,93022,20.17,2.66,7304,Large Cap Stockholm
Avanza Bank Holding,223.4,-1.15,2.95,35536,17.94,3.32,64688,Large Cap Stockholm
Axfood,266.3,-2.95,-6.56,57681,26.99,2.97,85595,Large Cap Stockholm
Beijer Ref B,128.9,1.82,-21.69,65418,35.99,0.74,10052,Large Cap Stockholm
Betsson B,111.4,-0.18,23.78,15929,8.41,0.0,18391,Large Cap Stockholm
Better Collective,249.5,2.04,80.8,13832,22.0,0.0,1911,Large Cap Stockholm
Bilia A,127.7,2.08,8.13,12279,11.06,7.03,13066,Large Cap Stockholm
Billerud,97.18,1.59,-26.24,24378,13.56,5.75,22250,Large Cap Stockholm
BioArctic B,254.2,3.25,-17.36,22397,84.06,0.0,13781,Large Cap Stockholm
Biotage,139.7,5.67,-20.13,11199,55.67,1.21,3285,Large Cap Stockholm
Boliden,288.05,-0.12,-34.25,78771,11.28,5.2,52692,Large Cap Stockholm
Bravida Holding,80.65,3.07,-25.53,16577,12.02,4.15,7784,Large Cap Stockholm
Bure Equity,288.6,3.29,21.06,21401,4.95,0.81,37199,Large Cap Stockholm
Camurus,587.0,2.98,143.16,32652,68.86,0.0,7923,Large Cap Stockholm
Castellum,137.75,1.89,-0.25,67761,-6.54,0.0,79824,Large Cap Stockholm
Catena,443.4,0.59,3.84,22134,709.32,1.87,3819,Large Cap Stockholm
Corem Property Group A,10.3,0.49,-10.43,15207,-1.3,3.9,2545,Large Cap Stockholm
Corem Property Group B,10.03,0.8,-3.93,15207,-1.27,4.02,13532,Large Cap Stockholm
Corem Property Group D,187.0,0.75,-6.73,15207,-23.62,10.78,4575,Large Cap Stockholm
Corem Property Group Pref,206.0,0.73,-11.21,15207,-24.7,9.78,7010,Large Cap Stockholm
Creades A,68.95,1.77,-16.53,9321,44.65,2.07,34629,Large Cap Stockholm
Diös Fastigheter,82.3,1.23,4.24,11669,-41.66,2.46,10080,Large Cap Stockholm
Dometic Group,88.0,1.31,19.99,28110,21.23,1.5,11448,Large Cap Stockholm
Electrolux A,118.0,-0.84,-37.57,28731,-10.59,0.0,347,Large Cap Stockholm
Electrolux B,101.25,-1.56,-36.32,28731,-9.15,0.0,26883,Large Cap Stockholm
Electrolux Professional B,57.5,3.14,17.64,16497,19.78,1.26,9170,Large Cap Stockholm
Elekta B,80.66,0.05,18.44,31042,23.01,2.98,10198,Large Cap Stockholm
Embracer Group B,24.92,1.86,-46.81,33460,8.29,0.0,98933,Large Cap Stockholm
Epiroc A,191.85,1.48,-7.32,220322,23.8,1.8,5636,Large Cap Stockholm
Epiroc B,168.6,1.38,-4.8,220322,20.94,2.04,17912,Large Cap Stockholm
EQT,264.0,2.68,4.39,321558,-800.32,1.17,43218,Large Cap Stockholm
Ericsson A,66.0,0.3,-3.65,214241,-9.39,4.1,6080,Large Cap Stockholm
Ericsson B,64.04,1.49,1.09,214241,-9.01,4.28,75045,Large Cap Stockholm
Essity A,264.0,1.93,-8.97,182356,19.88,2.8,5066,Large Cap Stockholm
Essity B,264.1,1.69,-8.39,182356,19.93,2.79,31685,Large Cap Stockholm
Evolution,1147.0,-1.31,2.28,248808,20.73,1.95,78183,Large Cap Stockholm
Fabege,102.4,1.89,4.17,33773,-5.05,2.39,10969,Large Cap Stockholm
Fast. Balder B,68.62,2.39,20.47,78980,-43.57,0.0,19748,Large Cap Stockholm
Fastpartner A,63.1,1.12,-25.24,12306,-5.86,1.6,2284,Large Cap Stockholm
Fastpartner D,59.7,0.34,-19.87,12306,-5.58,8.4,3436,Large Cap Stockholm
Fenix Outdoor International B,750.0,0.0,-19.09,10095,19.4,2.0,5147,Large Cap Stockholm
Fortnox,53.88,2.01,7.25,32207,67.65,0.23,41559,Large Cap Stockholm
Getinge B,229.1,1.37,3.29,61791,27.09,1.88,26585,Large Cap Stockholm
Handelsbanken A,111.0,1.32,-0.49,219984,7.81,5.02,65540,Large Cap Stockholm
Handelsbanken B,136.4,1.34,3.33,219984,9.59,4.09,25098,Large Cap Stockholm
Hemnet Group,247.6,-1.82,68.44,24805,81.61,0.4,6655,Large Cap Stockholm
Hennes & Mauritz B,169.54,1.07,30.18,273364,43.51,3.88,92218,Large Cap Stockholm
Hexagon B,115.75,0.7,-2.61,317402,29.29,1.18,34950,Large Cap Stockholm
HEXPOL B,117.9,1.64,0.08,40765,15.13,3.1,5039,Large Cap Stockholm
HMS Networks,511.0,3.9,44.19,23784,37.62,0.81,5051,Large Cap Stockholm
Holmen A,411.0,0.74,-6.16,67192,14.68,1.96,3076,Large Cap Stockholm
Holmen B,414.9,1.02,-2.77,67192,14.77,1.95,20024,Large Cap Stockholm
Hufvudstaden A,136.3,2.33,-13.52,28776,-14.07,2.03,14932,Large Cap Stockholm
Husqvarna A,79.9,0.76,-1.11,46320,25.22,3.78,7067,Large Cap Stockholm
Husqvarna B,80.34,0.75,-0.54,46320,25.36,3.76,24894,Large Cap Stockholm
Industrivärden A,324.7,0.53,20.13,140160,4.62,2.24,24840,Large Cap Stockholm
Industrivärden C,324.7,0.56,20.48,140160,4.62,2.25,71460,Large Cap Stockholm
Indutrade,259.7,1.8,11.84,93295,32.81,1.02,12585,Large Cap Stockholm
Instalco,43.44,4.07,3.13,11066,17.75,1.58,11004,Large Cap Stockholm
International Petroleum Corp.,118.5,3.54,15.05,14535,6.79,0.0,8194,Large Cap Stockholm
Intrum,74.02,5.71,-45.55,8523,-2.22,19.28,43247,Large Cap Stockholm
